city_id;area;city;county (powiat);population;voivodeship
1;56,3 km²;Legnica;powiat Legnica;92568;dolnośląskie
2;17,1 km²;Syców;powiat oleśnicki;9928;dolnośląskie
3;37,4 km²;Kowary;powiat jeleniogórski;9806;dolnośląskie
4;14,9 km²;Środa Śląska;powiat średzki;9548;dolnośląskie
5;33,9 km²;Kudowa-Zdrój;powiat kłodzki;9324;dolnośląskie
6;10,7 km²;Bystrzyca Kłodzka;powiat kłodzki;9045;dolnośląskie
7;14,4 km²;Oborniki Śląskie;powiat trzebnicki;8992;dolnośląskie
8;16,6 km²;Lwówek Śląski;powiat lwówecki;8180;dolnośląskie
9;109,3 km²;Jelenia Góra;powiat Jelenia Góra;75429;dolnośląskie
10;15,1 km²;Ziębice;powiat ząbkowicki;7995;dolnośląskie
11;9 km²;Chocianów;powiat polkowicki;7404;dolnośląskie
12;8,6 km²;Kąty Wrocławskie;powiat wrocławski;7171;dolnośląskie
13;40,8 km²;Lubin;powiat lubiński;68016;dolnośląskie
14;292,8 km²;Wrocław;powiat Wrocław;674132;dolnośląskie
15;35,1 km²;Głogów;powiat głogowski;62533;dolnośląskie
16;32,2 km²;Sobótka;powiat wrocławski;6997;dolnośląskie
17;17,7 km²;Pieszyce;powiat dzierżoniowski;6782;dolnośląskie
18;7,6 km²;Żarów;powiat świdnicki;6474;dolnośląskie
19;8,3 km²;Twardogóra;powiat oleśnicki;6207;dolnośląskie
20;9,5 km²;Żmigród;powiat trzebnicki;6205;dolnośląskie
21;6,6 km²;Gryfów Śląski;powiat lwówecki;6148;dolnośląskie
22;21,8 km²;Świdnica;powiat świdnicki;53157;dolnośląskie
23;17,2 km²;Polanica-Zdrój;powiat kłodzki;5994;dolnośląskie
24;16,2 km²;Głuszyca;powiat wałbrzyski;5930;dolnośląskie
25;20,9 km²;Piława Górna;powiat dzierżoniowski;5929;dolnośląskie
26;75,4 km²;Szklarska Poręba;powiat jeleniogórski;5832;dolnośląskie
27;43,2 km²;Piechowice;powiat jeleniogórski;5774;dolnośląskie
28;6,2 km²;Przemków;powiat polkowicki;5601;dolnośląskie
29;22,4 km²;Lubawka;powiat kamiennogórski;5568;dolnośląskie
30;9,9 km²;Pieńsk;powiat zgorzelecki;5451;dolnośląskie
31;13,5 km²;Ścinawa;powiat lubiński;5288;dolnośląskie
32;14,8 km²;Szczawno-Zdrój;powiat wałbrzyski;5247;dolnośląskie
33;4,3 km²;Jaworzyna Śląska;powiat świdnicki;5026;dolnośląskie
34;20,3 km²;Lądek-Zdrój;powiat kłodzki;4995;dolnośląskie
35;2,4 km²;Stronie Śląskie;powiat kłodzki;4992;dolnośląskie
36;80,4 km²;Szczytna;powiat kłodzki;4810;dolnośląskie
37;17,4 km²;Jedlina-Zdrój;powiat wałbrzyski;4652;dolnośląskie
38;7,7 km²;Bolków;powiat jaworski;4637;dolnośląskie
39;8,4 km²;Bierutów;powiat oleśnicki;4481;dolnośląskie
40;13 km²;Kamieniec Ząbkowicki;powiat ząbkowicki;4328;dolnośląskie
41;20,3 km²;Olszyna;powiat lubański;4313;dolnośląskie
42;38 km²;Karpacz;powiat jeleniogórski;4278;dolnośląskie
43;16,1 km²;Nowogrodziec;powiat bolesławiecki;4115;dolnośląskie
44;22,3 km²;Duszniki-Zdrój;powiat kłodzki;4051;dolnośląskie
45;8,6 km²;Leśna;powiat lubański;4016;dolnośląskie
46;22,9 km²;Bolesławiec;powiat bolesławiecki;37160;dolnośląskie
47;21 km²;Oleśnica;powiat oleśnicki;35210;dolnośląskie
48;27,4 km²;Oława;powiat oławski;33183;dolnośląskie
49;20,1 km²;Dzierżoniów;powiat dzierżoniowski;30822;dolnośląskie
50;20,7 km²;Świeradów-Zdrój;powiat lubański;3961;dolnośląskie
51;6,1 km²;Zawidów;powiat zgorzelecki;3766;dolnośląskie
52;10,3 km²;Mieroszów;powiat wałbrzyski;3762;dolnośląskie
53;14,7 km²;Mirsk;powiat lwówecki;3653;dolnośląskie
54;9,9 km²;Prochowice;powiat legnicki;3514;dolnośląskie
55;32,2 km²;Wojcieszów;powiat złotoryjski;3464;dolnośląskie
56;15,9 km²;Zgorzelec;powiat zgorzelecki;29109;dolnośląskie
57;36,2 km²;Bielawa;powiat dzierżoniowski;28181;dolnośląskie
58;24,8 km²;Kłodzko;powiat kłodzki;24933;dolnośląskie
59;30,4 km²;Świebodzice;powiat świdnicki;21870;dolnośląskie
60;23,7 km²;Polkowice;powiat polkowicki;21416;dolnośląskie
61;18,8 km²;Jawor;powiat jaworski;20713;dolnośląskie
62;37,1 km²;Nowa Ruda;powiat kłodzki;20543;dolnośląskie
63;19,8 km²;Niemcza;powiat dzierżoniowski;2703;dolnośląskie
64;8,7 km²;Węgliniec;powiat zgorzelecki;2654;dolnośląskie
65;3,3 km²;Wąsosz;powiat górowski;2557;dolnośląskie
66;7,7 km²;Złoty Stok;powiat ząbkowicki;2470;dolnośląskie
67;14,4 km²;Międzylesie;powiat kłodzki;2397;dolnośląskie
68;6,4 km²;Międzybórz;powiat oleśnicki;2331;dolnośląskie
69;4,7 km²;Bardo;powiat ząbkowicki;2329;dolnośląskie
70;15,1 km²;Radków;powiat kłodzki;2270;dolnośląskie
71;9,2 km²;Wiązów;powiat strzeliński;2265;dolnośląskie
72;10,9 km²;Prusice;powiat trzebnicki;2149;dolnośląskie
73;11,1 km²;Miękinia;powiat średzki;2059;dolnośląskie
74;1,8 km²;Świerzawa;powiat złotoryjski;2015;dolnośląskie
75;16,1 km²;Lubań;powiat lubański;19640;dolnośląskie
76;18 km²;Kamienna Góra;powiat kamiennogórski;17243;dolnośląskie
77;59,9 km²;Bogatynia;powiat zgorzelecki;16152;dolnośląskie
78;17,1 km²;Jelcz-Laskowice;powiat oławski;15088;dolnośląskie
79;20,5 km²;Strzegom;powiat świdnicki;15026;dolnośląskie
80;13,7 km²;Ząbkowice Śląskie;powiat ząbkowicki;14299;dolnośląskie
81;27 km²;Boguszów-Gorce;powiat wałbrzyski;14272;dolnośląskie
82;11,5 km²;Złotoryja;powiat złotoryjski;14257;dolnośląskie
83;10,6 km²;Trzebnica;powiat trzebnicki;13624;dolnośląskie
84;18,6 km²;Brzeg Dolny;powiat wołowski;12565;dolnośląskie
85;5,3 km²;Chojnów;powiat legnicki;12392;dolnośląskie
86;18,5 km²;Wołów;powiat wołowski;12043;dolnośląskie
87;12,7 km²;Strzelin;powiat strzeliński;11956;dolnośląskie
88;84,7 km²;Wałbrzych;powiat Wałbrzych;101082;dolnośląskie
89;15,7 km²;Siechnice;powiat wrocławski;10797;dolnośląskie
90;13,5 km²;Milicz;powiat milicki;10785;dolnośląskie
91;13,7 km²;Góra;powiat górowski;10778;dolnośląskie
92;8,1 km²;Lubomierz;powiat lwówecki;1759;dolnośląskie
93;7,2 km²;Wleń;powiat lwówecki;1577;dolnośląskie
94;7,7 km²;Szubin;powiat nakielski;9405;kujawsko-pomorskie
95;10,2 km²;Kruszwica;powiat inowrocławski;9131;kujawsko-pomorskie
96;57,8 km²;Grudziądz;powiat Grudziądz;89081;kujawsko-pomorskie
97;6,6 km²;Sępólno Krajeńskie;powiat sępoleński;8785;kujawsko-pomorskie
98;9,5 km²;Janikowo;powiat inowrocławski;8186;kujawsko-pomorskie
99;30,4 km²;Inowrocław;powiat inowrocławski;67745;kujawsko-pomorskie
100;3,7 km²;Barcin;powiat żniński;6985;kujawsko-pomorskie
101;9,2 km²;Gniewkowo;powiat inowrocławski;6685;kujawsko-pomorskie
102;4,3 km²;Więcbork;powiat sępoleński;5680;kujawsko-pomorskie
103;3,5 km²;Nowe;powiat świecki;5439;kujawsko-pomorskie
104;4,5 km²;Strzelno;powiat mogileński;5240;kujawsko-pomorskie
105;3,4 km²;Pakość;powiat inowrocławski;5152;kujawsko-pomorskie
106;5,7 km²;Radziejów;powiat radziejowski;5081;kujawsko-pomorskie
