donor_id;donor_type;acquisition_channel;age;gender;location_id;city;country
1;Individual;Social Media;20;Male;530;Stalowa Wola; Poland
2;Individual;Direct Mail;21;Female;843;Konin; Poland
3;Organization;Social Media;;;536;Dêbica; Poland
4;Individual;Social Media;50;Male;542;Jaros³aw; Poland
5;Organization;Partnership;;;535;Tarnobrzeg; Poland
6;Organization;Direct Mail;;;497;Brzeg; Poland
7;Individual;Partnership;71;Female;528;Mielec; Poland
8;Organization;Direct Mail;;;634;Kwidzyn; Poland
9;Individual;Social Media;22;Female;975;Goleniów; Poland
10;Individual;Social Media;32;Male;496;Nysa; Poland
11;Individual;Social Media;23;Female;798;Szczytno; Poland
12;Organization;Direct Mail;;;664;¯ory; Poland
13;Individual;Social Media;51;Female;691;CzeladŸ; Poland
14;Individual;Social Media;44;Female;702;Olsztyn; Poland
15;Individual;Social Media;46;Male;702;Olsztyn; Poland
16;Individual;Social Media;64;Female;262;Tomaszów Mazowiecki; Poland
17;Organization;Partnership;;;580;£om¿a; Poland
18;Individual;Direct Mail;36;Male;578;Suwa³ki; Poland
19;Organization;Partnership;;;262;Tomaszów Mazowiecki; Poland
20;Individual;Online Event;67;Female;335;Oœwiêcim; Poland
21;Individual;Online Event;87;Male;401;Marki; Poland
22;Organization;Direct Mail;;;722;D¹browa Górnicza; Poland
23;Individual;Online Event;61;Male;415;Sochaczew; Poland
24;Organization;Direct Mail;;;158;Bia³a Podlaska; Poland
25;Individual;Partnership;56;Male;167;Kraœnik; Poland
26;Individual;Online Event;78;Female;744;Skar¿ysko-Kamienna; Poland
27;Individual;In-Person Event;81;Female;962;Szczecin; Poland
28;Individual;Partnership;41;Male;716;Rybnik; Poland
29;Individual;Online Event;46;Female;664;¯ory; Poland
30;Individual;Online Event;59;Male;119;Brodnica; Poland
31;Organization;Direct Mail;;;9;Jelenia Góra; Poland
32;Organization;Partnership;;;259;Pabianice; Poland
33;Individual;Partnership;24;Male;847;Poznañ; Poland
34;Individual;Online Event;18;Female;709;Bielsko-Bia³a; Poland
35;Individual;Social Media;31;Female;429;Piastów; Poland
36;Organization;Direct Mail;;;345;Bochnia; Poland
37;Organization;Social Media;;;618;S³upsk; Poland
38;Individual;Partnership;25;Non-binary;399;Ostro³êka; Poland
39;Individual;In-Person Event;69;Female;791;Ostróda; Poland
40;Individual;Partnership;71;Male;785;E³k; Poland
41;Organization;Direct Mail;;;157;Che³m; Poland
42;Organization;Partnership;;;885;W¹growiec; Poland
43;Individual;Partnership;42;Female;717;Ruda Œl¹ska; Poland
44;Individual;Partnership;83;Male;963;Œwinoujœcie; Poland
45;Organization;Direct Mail;;;696;Pszczyna; Poland
46;Individual;Direct Mail;88;Male;588;Augustów; Poland
47;Individual;Direct Mail;58;Male;864;Luboñ; Poland
48;Individual;Online Event;33;Male;843;Konin; Poland
49;Organization;Social Media;;;216;Nowa Sól; Poland
50;Individual;Partnership;71;Female;865;Wrzeœnia; Poland
51;Individual;Partnership;64;Female;88;Wa³brzych; Poland
52;Individual;Online Event;21;Male;722;D¹browa Górnicza; Poland
