"donor_id";"donation_id";"donation_number";"donation_date";"donation_amount"
1;"1_1";1;"2021-05-11";176
1;"1_2";2;"2021-09-02";166
1;"1_3";3;"2021-09-22";181
1;"1_4";4;"2021-12-28";181
1;"1_5";5;"2022-09-24";169
1;"1_6";6;"2022-11-03";173
1;"1_7";7;"2023-01-01";172
1;"1_8";8;"2023-06-10";175
1;"1_9";9;"2024-04-02";186
1;"1_10";10;"2024-11-20";72
2;"2_1";1;"2020-03-19";301
2;"2_2";2;"2020-10-15";312
2;"2_3";3;"2021-04-28";301
2;"2_4";4;"2022-04-11";309
2;"2_5";5;"2022-06-07";308
2;"2_6";6;"2023-12-13";311
2;"2_7";7;"2023-12-28";312
2;"2_8";8;"2024-09-12";100
3;"3_1";1;"2023-07-25";6242
3;"3_2";2;"2024-02-25";4029
3;"3_3";3;"2024-04-08";3525
4;"4_1";1;"2021-02-12";383
4;"4_2";2;"2021-04-12";100
5;"5_1";1;"2020-01-06";5637
5;"5_2";2;"2020-09-23";6569
5;"5_3";3;"2021-03-27";6147
5;"5_4";4;"2021-04-08";5780
5;"5_5";5;"2022-06-25";5745
5;"5_6";6;"2022-11-19";6405
5;"5_7";7;"2022-12-24";5972
5;"5_8";8;"2023-03-15";5582
5;"5_9";9;"2023-12-27";6182
5;"5_10";10;"2024-09-25";1492
6;"6_1";1;"2020-03-27";9193
6;"6_2";2;"2021-09-01";9160
6;"6_3";3;"2023-06-19";8308
6;"6_4";4;"2024-01-01";8897
6;"6_5";5;"2024-03-22";9510
6;"6_6";6;"2024-03-25";4448
7;"7_1";1;"2020-04-23";164
7;"7_2";2;"2020-11-14";54
7;"7_3";3;"2021-03-27";64
7;"7_4";4;"2021-04-22";57
7;"7_5";5;"2021-06-14";56
7;"7_6";6;"2024-10-27";56
7;"7_7";7;"2024-12-02";20
8;"8_1";1;"2020-06-22";2000
8;"8_2";2;"2021-06-22";2000
8;"8_3";3;"2022-06-22";2000
9;"9_1";1;"2023-03-21";296
9;"9_2";2;"2024-01-02";287
10;"10_1";1;"2023-03-21";296
10;"10_2";2;"2024-01-02";287
11;"11_1";1;"2022-03-02";96
11;"11_2";2;"2024-12-26";89
12;"12_1";1;"2020-06-22";2000
12;"12_2";2;"2021-06-22";2000
12;"12_3";3;"2022-06-22";2000
13;"13_1";1;"2023-03-21";296
13;"13_2";2;"2024-01-02";287
14;"14_1";1;"2023-03-21";296
14;"14_2";2;"2024-01-02";287
15;"15_1";1;"2021-04-12";71
16;"16_1";1;"2023-12-10";313
17;"17_1";1;"2021-03-20";10000
17;"17_2";2;"2022-03-20";10000
17;"17_3";3;"2023-03-20";10000
17;"17_4";4;"2024-03-20";5000
17;"17_5";5;"";0
18;"18_1";1;"2020-04-25";98
18;"18_2";2;"2020-11-15";109
18;"18_3";3;"2021-02-23";114
18;"18_4";4;"2022-06-26";108
18;"18_5";5;"2023-12-28";106
19;"19_1";1;"2020-05-18";10000
19;"19_2";2;"2021-10-06";10000
19;"19_3";3;"2021-11-16";10000
19;"19_4";4;"2024-03-21";5000
20;"20_1";1;"2020-10-13";226
20;"20_2";2;"2021-08-16";227
20;"20_3";3;"2021-11-10";232
20;"20_4";4;"2022-06-18";230
20;"20_5";5;"2022-08-13";235
20;"20_6";6;"2022-10-13";235
20;"20_7";7;"2023-01-19";240
20;"20_8";8;"2023-12-10";244
20;"20_9";9;"2024-04-27";227
21;"21_1";1;"2020-11-12";138
